幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.26000,31.61000,31.59500,31.54800,31.47900,31.41800,31.34800,31.27700,31.21800,本行賣出,31.93000,31.71000,31.69900,31.65700,31.59700,31.54200,31.48000,31.41900,31.36800,
HKD,本行買入,3.88100,4.00700,4.00500,4.00100,3.99600,3.99300,3.98700,3.98200,3.97700,本行賣出,4.08500,4.06700,4.06600,4.06500,4.06200,4.05800,4.05400,4.05000,4.04700,
GBP,本行買入,41.61000,42.62000,42.58500,42.51400,42.42900,42.34800,42.26400,42.18000,42.09600,本行賣出,43.73000,43.02000,43.00300,42.96800,42.88900,42.81200,42.73900,42.66500,42.59200,
AUD,本行買入,22.31000,22.60000,22.57700,22.53000,22.47100,22.41500,22.35900,22.30300,22.24900,本行賣出,23.09000,22.80000,22.78800,22.76500,22.71000,22.65600,22.60500,22.55600,22.50700,
CAD,本行買入,22.38000,22.78000,22.77100,22.75400,22.74000,22.72800,22.71500,22.70200,22.68900,本行賣出,23.29000,22.98000,22.98100,22.98300,22.97300,22.96300,22.95600,22.95000,22.94300,
SGD,本行買入,24.40000,24.89000,24.88400,24.87300,24.87300,24.87800,24.88100,24.88400,24.88700,本行賣出,25.31000,25.07000,25.07800,25.09400,25.09900,25.10500,25.11400,25.12300,25.13300,
CHF,本行買入,38.11000,38.79000,38.80000,38.82000,38.87300,38.93200,38.99000,39.04900,39.10900,本行賣出,39.31000,39.04000,39.06800,39.12400,39.18600,39.24700,39.31700,39.38800,39.46000,
JPY,本行買入,0.19610,0.20340,0.20340,0.20340,0.20350,0.20360,0.20360,0.20370,0.20380,本行賣出,0.20890,0.20740,0.20750,0.20760,0.20770,0.20780,0.20800,0.20810,0.20830,
ZAR,本行買入,0.00000,1.91700,1.91400,1.90800,1.89900,1.89100,1.88300,1.87500,1.86700,本行賣出,0.00000,1.99700,1.99500,1.99100,1.98300,1.97500,1.96700,1.96000,1.95200,
SEK,本行買入,0.00000,3.23000,3.22900,3.22700,3.22600,3.22500,3.22400,3.22300,3.22200,本行賣出,0.00000,3.33000,3.33100,3.33200,3.33100,3.33100,3.33000,3.33000,3.33000,
NZD,本行買入,17.98000,18.36000,18.34800,18.32300,18.29900,18.27700,18.25400,18.23000,18.20600,本行賣出,18.83000,18.56000,18.55900,18.55600,18.53600,18.51600,18.49700,18.47700,18.45800,
THB,本行買入,0.82850,0.94190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01850,0.98190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.43900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.93000,36.55000,36.53700,36.51000,36.47800,36.44700,36.41000,36.37300,36.31400,本行賣出,37.27000,36.95000,36.94600,36.93900,36.91300,36.89100,36.86800,36.84500,36.82300,
KRW,本行買入,0.02181,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.76200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.28700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.62100,4.69300,4.69280,4.69250,4.69420,4.69540,4.69670,4.69840,4.69930,本行賣出,4.78300,4.74300,4.74380,4.74550,4.74700,4.74800,4.75020,4.75240,4.75460,
