幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.40500,31.75500,31.73900,31.68800,31.63100,31.56800,31.50500,31.44600,31.38300,本行賣出,32.07500,31.85500,31.84300,31.79600,31.74500,31.68900,31.63300,31.58100,31.52600,
HKD,本行買入,3.89800,4.02400,4.02200,4.01900,4.01500,4.01200,4.00600,4.00000,3.99400,本行賣出,4.10200,4.08400,4.08400,4.08300,4.07900,4.07600,4.07100,4.06700,4.06200,
GBP,本行買入,41.90000,42.91000,42.87400,42.80300,42.71900,42.63900,42.54300,42.44700,42.35100,本行賣出,44.02000,43.31000,43.29000,43.24900,43.16900,43.09000,43.01100,42.93200,42.85200,
AUD,本行買入,22.22000,22.51000,22.48500,22.43500,22.38000,22.32800,22.26700,22.20900,22.15000,本行賣出,23.00000,22.71000,22.69700,22.67100,22.61900,22.56700,22.51400,22.46400,22.41400,
CAD,本行買入,22.43000,22.83000,22.82200,22.80500,22.79300,22.78200,22.76500,22.74800,22.73100,本行賣出,23.34000,23.03000,23.03000,23.02900,23.01900,23.00800,23.00000,22.99100,22.98200,
SGD,本行買入,24.32000,24.81000,24.80800,24.80400,24.80800,24.81500,24.81700,24.81800,24.81900,本行賣出,25.23000,24.99000,24.99700,25.01000,25.01900,25.02600,25.03600,25.04700,25.05700,
CHF,本行買入,38.41000,39.09000,39.10100,39.12300,39.18200,39.24100,39.29600,39.35100,39.40700,本行賣出,39.61000,39.34000,39.36800,39.42300,39.48800,39.54800,39.61800,39.68800,39.75800,
JPY,本行買入,0.19020,0.19750,0.19750,0.19750,0.19760,0.19770,0.19780,0.19790,0.19790,本行賣出,0.20300,0.20150,0.20160,0.20170,0.20180,0.20200,0.20210,0.20230,0.20250,
ZAR,本行買入,0.00000,1.92000,1.91700,1.91000,1.90200,1.89300,1.88400,1.87500,1.86600,本行賣出,0.00000,2.00000,1.99800,1.99300,1.98500,1.97600,1.96800,1.96000,1.95200,
SEK,本行買入,0.00000,3.30000,3.29900,3.29700,3.29700,3.29600,3.29400,3.29200,3.29000,本行賣出,0.00000,3.40000,3.40000,3.40100,3.40000,3.40000,3.40000,3.39900,3.39900,
NZD,本行買入,18.31000,18.69000,18.68000,18.65900,18.63700,18.61700,18.58900,18.56200,18.53400,本行賣出,19.16000,18.89000,18.88800,18.88500,18.86500,18.84500,18.82500,18.80400,18.78400,
THB,本行買入,0.83430,0.94770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02430,0.98770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.02000,36.64000,36.62700,36.60200,36.57300,36.54500,36.51500,36.48400,36.43500,本行賣出,37.36000,37.04000,37.03600,37.02900,37.00500,36.98300,36.96500,36.94700,36.92800,
KRW,本行買入,0.02082,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02472,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.81900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.34400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.61900,4.69100,4.69110,4.69130,4.69330,4.69470,4.69610,4.69790,4.69870,本行賣出,4.78100,4.74100,4.74160,4.74270,4.74440,4.74500,4.74710,4.74920,4.75140,
